rank,tier,company,hq,category,fit_score,consequential_surface,why_now,contact_role,public_contact,source,status,next_action
1,A,telli,Berlin Germany,AI customer-operations agents,10,"voice/chat/SMS/WhatsApp/email; CRM and workflow actions","$15M seed in Jul 2026; customer-facing agents operating at scale","Founder / CTO / Security","finn@telli.com",https://www.telli.com/,not_contacted,"personalized email + Berlin founder angle"
2,A,Cortea,Berlin Germany,AI audit automation,10,"audit evidence; review workflows; regulated decisions","€12M seed in Jun 2026; explicitly building an AI quality layer for audit firms","Founder / CTO","contact@cortea.ai",https://www.cortea.ai/,not_contacted,"personalized email around independent security-delta evidence"
3,A,Bayshore,Munich Germany,legal & compliance automation,10,"intake-to-decision compliance workflows; audit trails; escalation","€6.9M funding in Jun 2026; governed legal/compliance front door in high-stakes sectors","CTO / Product & Technology / Founder","contact@bayshore.ai",https://www.bayshore.ai/,not_contacted,"personalized email around authority + escalation boundaries"
4,A,Maisa,Spain / Europe,regulated-industry digital workers,10,"loan origination; KYC; claims; finance; compliance; multi-system execution","Digital Workers explicitly run end-to-end regulated processes and emphasize traceability","CTO / CEO / Security","contact@maisa.ai",https://maisa.ai/,not_contacted,"personalized email: external causal proof complements traceability claims"
5,A,Gradient Labs,London UK,financial-services customer operations,10,"customer support plus AML/compliance decision workflows","expanding automation into complex financial-services decisions; strong compliance/security positioning","CTO / Security / Founder","hello@gradient-labs.ai",https://gradient-labs.ai/,not_contacted,"personalized email around money-laundering and compliance effect boundaries"
6,A,2501.ai,Paris France,agent deployment infrastructure,9,"agents deployed cloud/on-prem/hybrid with tool and infrastructure access","recent agent-infrastructure startup; platform sits directly on execution boundary","Founder / CTO","hello@2501.ai",https://www.2501.ai/,not_contacted,"personalized email around execution authority across deployments"
7,A,Linkup,Paris France,web infrastructure for AI agents,9,"agent web access; crawling/search; external network effects","production-grade web access for AI agents used by labs and financial institutions","CTO / Security / Founder","contact@linkup.so",https://www.linkup.so/,not_contacted,"personalized email around arbitrary-web and egress boundaries"
8,A,Agaton,Stockholm Sweden,AI sales coworker,9,"dialer/email/CRM/Teams/Slack actions; autonomous sales workflows","agent is described as autonomous coworker integrated into revenue systems","CTO / Founder","hello@agaton.ai",https://www.agaton.ai/,not_contacted,"personalized email around CRM/email action authority"
9,A,MarvelX AI,Amsterdam Netherlands,insurance AI agents,10,"claims handling; fraud checks; customer communication; insurer-system integrations","young funded insurance-agent startup; consequential claim decisions and external actions","CTO / Founder / Security","contact form",https://www.marvelx.ai/,not_contacted,"research technical lead then personalized outreach"
10,A,Kapa AI,Europe,product/support AI agents,9,"MCP/tools; query data; create resources; open support tickets","product now explicitly lets embedded agents take actions for users","CTO / Security / Product","contact form",https://www.kapa.ai/,not_contacted,"personalized outreach around MCP/tool action boundary"
11,A,Narwhal Labs,Bristol UK,autonomous communications platform,10,"autonomous voice/SMS/email/WhatsApp; CRM writes; 500+ connectors","DeepBlue OS charges per action and performs outbound communication autonomously","CTO / Founder / Security","contact form",https://narwhallabs.io/deepblue,not_contacted,"personalized email around outbound + connector authorization"
12,A,Taktile,Berlin Germany,AI decisioning for financial risk,10,"financial risk decisions; policy workflows; regulated data","Berlin-based fast-growing decision platform in a high-consequence domain","CTO / Security / Product","contact form",https://taktile.com/,not_contacted,"Berlin outreach around deterministic decision/effect gates"
13,B,Viktor,Warsaw Poland,Slack-native AI coworker,9,"cross-platform business operations from Slack","new 2026 agentic coworker; broad cross-platform execution surface","CTO / Founder","contact form",https://www.viktor.ai/,not_contacted,"scope one cross-platform action chain"
14,B,Stacks,Amsterdam Netherlands,financial-close automation,9,"finance close workflows; accounting records and reconciliations","AI-powered finance automation has measurable high-integrity effects","CTO / Security / Founder","contact form",https://www.stacks.ai/,not_contacted,"outreach around unauthorized accounting-write prevention"
15,B,Dust,Paris France,enterprise AI agents,9,"specialized enterprise agents connected to internal tools and data","agent OS deployed across enterprise workflows; broad authority surface","CTO / Security / Platform","contact form",https://dust.tt/,not_contacted,"offer independent Security Delta on one connected agent"
16,B,BRYTER,Frankfurt Germany,legal AI + workflow automation,9,"legal workflows; data collection; policy-driven actions","German legal automation vendor combining AI with deterministic workflows","CTO / Security / AI","contact form",https://bryter.com/,not_contacted,"German outreach around legal authority and fail-closed gates"
17,B,Unique,Zurich Switzerland,financial AI workflows,9,"client proposals; financial workflows; sensitive enterprise data","fast-growing finance AI platform with regulated workflow exposure","CTO / CISO / Product","contact form",https://www.unique.ai/,not_contacted,"scope a client-facing financial action/evidence chain"
18,B,Maki People,Paris France,recruiting AI agents,8,"candidate assessment; recruiting decisions; communication","conversational AI agents automate talent assessment","CTO / Responsible AI / Product","contact form",https://www.makipeople.com/,not_contacted,"outreach around consequential assessment authority"
19,B,CausaLens,London UK,AI agents for data science,8,"data analysis agents; enterprise tool/data access","explicit AI-agent product for data science with enterprise execution context","CTO / Security","contact form",https://causalens.com/,not_contacted,"scope one data/tool execution path"
20,B,SolveAI,London UK,enterprise AI application platform,8,"production enterprise apps generated/operated by AI","fast-growing platform for production-ready AI applications","CTO / Security / Founder","contact form",https://solveai.com/,not_contacted,"outreach around generated app action boundaries"
21,B,Nexos,Vilnius Lithuania,AI model gateway,8,"model/tool gateway; routing; compliance controls","gateway is a natural enforcement and evidence layer for enterprise AI","CTO / Security / Founder","contact form",https://nexos.ai/,not_contacted,"partnership/buyer angle around proofable enforcement"
22,B,Kopa AI,Lithuania / Europe,e-commerce agentic marketing,8,"campaign launch; offer pages; store/catalog actions","recently funded agentic commerce platform that executes campaigns from live business data","CTO / Founder","contact form",https://kopa.ai/,not_contacted,"outreach around campaign/publish authority"
23,C,Parloa,Berlin Germany,enterprise service agents,9,"voice service agents; enterprise customer operations","large Berlin agent company with production scale; likely mature controls but high-value proof opportunity","Security / Platform / AI Safety","contact form",https://www.parloa.com/,not_contacted,"strategic account; lead with independent benchmark rather than consulting pitch"
24,C,n8n,Berlin Germany,workflow automation / AI agents,9,"thousands of integrations; arbitrary workflows; credentials; external actions","Berlin automation platform sits directly at effect execution boundary","Security / AI Platform / Product","contact form",https://n8n.io/,not_contacted,"strategic partnership / benchmark integration angle"
25,C,Legora,Stockholm Sweden,agentic legal workspace,9,"legal research/review/drafting plus firm data and workflows","large agentic legal platform; regulated clients need inspectable authority boundaries","Security / CTO / Trust","contact form",https://legora.com/,not_contacted,"enterprise proof angle around legal actions and firm data"
26,C,PolyAI,London UK,enterprise conversational agents,8,"customer-service calls and backend actions","enterprise voice agents act inside support flows at large scale","Security / Platform","contact form",https://poly.ai/,not_contacted,"scope backend action authorization from voice interactions"
27,C,NiCE Cognigy,Düsseldorf Germany,enterprise conversational AI,8,"contact-center automation; tool/backend integration","German enterprise conversational automation with high-scale integrations","Security / AI Platform","contact form",https://www.cognigy.com/,not_contacted,"German enterprise benchmark / evidence angle"
28,C,H Company,Paris France,enterprise autonomous agents,9,"virtual humanoids / computer-use style enterprise actions","well-funded agent company where action boundaries are central product risk","Security / CTO / Research","contact form",https://www.hcompany.ai/,not_contacted,"strategic independent action-boundary proof"
29,C,Luminance,Cambridge UK,legal contract AI,8,"contract review/management; legal workflow actions","legal-grade AI with end-to-end contract workflow exposure","Security / CTO / Trust","contact form",https://www.luminance.com/,not_contacted,"independent legal workflow Security Delta"
30,C,Teneo AI,Barcelona Spain,conversational AI platform,8,"natural-language interfaces triggering enterprise workflows","mature conversational platform where instruction-to-effect mapping matters","Security / Product / CTO","contact form",https://www.teneo.ai/,not_contacted,"scope one enterprise action chain and regression gate"
